WELL,LAT,LON,CLASS,AREA,OPERATOR,RIG_NAME,TD,KB,WD,DEPTH_UNIT,SPUD_DATE,RIG_RELEAS,STATUS
49/23-1,51.313799,-7.545029,Exploration,North Celtic Sea Basin,Island Oil and Gas,Petrolia,4220,87.7,296.3,ft,12/07/2006,07/08/2006,Suspended with/without shows or untested pay
13/12-1,55.6042211,-8.7792183,Exploration,Donegal Basin,Lundin Exploration,Petrolia,1533,87,316,ft,22/08/2006,04/09/2006,P & A with/without shows or untested pay
18/20-5 P6,54.3393083,-11.0556961,Appraisal/Developmt,Slyne Basin,Shell,Sedco 711,4222,26.4,348.1,m,31/03/2007,22/10/2007,Suspended Gas Well
18/20-6 P10,54.3399983,-11.0555425,Appraisal/Developmt,Slyne Basin,Shell,Sedco 711,3847,26.4,349,m,27/03/2007,25/10/2007,Suspended Gas Well
49/23-2z,51.3032447,-7.5803289,Appraisal/Developmt,North Celtic Sea Basin,Island Oil and Gas,Petrolia,5140,87.7,289,ft,16/05/2007,10/07/2007,Suspended Gas Well
57/2-3,50.9018533,-8.7671131,Exploration/Apprais,North Celtic Sea Basin,Island Oil and Gas,Petrolia,2989,87.7,357.8,ft,14/07/2007,12/08/2007,Suspended Gas Well
50/11-3,51.5872903,-6.9197686,Exploration/Apprais,North Celtic Sea Basin,Providence Resources,Petrolia,4974,87,239,ft,17/08/2007,16/10/2007,Suspended with/without shows or untested pay
12/2-2,55.8996783,-9.7607842,Exploration,Rockall Basin,Shell E&P Ireland,Leiv Eiriksson,4456,25,1720,m,15/05/2008,28/07/2008,P & A with/without shows or untested pay
19/8-1,54.7065556,-10.4390278,Exploration,Erris Basin,Statoil Exploration,Ocean Vanguard,2755,22,176,m,19/05/2008,08/07/2008,P & A with/without shows or untested pay
50/11-4,51.5949728,-6.9510564,Appraisal,North Celtic Sea Basin,Providence Resources,Arctic II,4951,76,244,ft,05/08/2008,01/09/2008,P & A with/without shows or untested pay
50/6-4,51.7549061,-6.8025769,Appraisal,North Celtic Sea Basin,Providence Resources,Arctic II,5214,76,243,ft,05/09/2008,28/09/2008,Suspended with/without shows or untested pay
"27/4-1,1z",53.9384435,-11.3734146,Exploration,Slyne Basin,Serica Energy UK,Ocean Guardian,1900,26.4,272.6,m,11/05/2009,12/06/2009,P & A with/without shows or untested pay
18/20-7,54.40715,-11.0711777,Exploration,Slyne Basin,Shell,Sedco 711,4041,26.4,401,m,18/06/2010,13/10/2010,P & A with/without shows or untested pay
48/24-10z,51.2011311,-8.2870492,Appraisal,North Celtic Sea Basin,Providence Resources,Arctic III,7650,86,335,ft,20/11/2011,24/03/2012,Suspended Oil Well
44/23-1,51.3326379,-12.4566047,Exploration,Porcupine Basin,ExxonMobil E&P Irl,Eirik Raude,5000,25,1663,m,23/04/2013,30/07/2013,P & A with/without shows or untested pay
49/11-3,51.519797,-7.820597,Exploration,North Celtic Sea Basin,PSE Seven Heads Ltd,Ocean Guardian,3480,86.5,276.5,ft,29/07/2015,18/08/2015,P & A with/without shows or untested pay
53/6-1,50.784466,-12.976768,Exploration,Porcupine Basin,Providence Resources,Stena IceMAX,5281,32,2233,m,13/07/2017,25/09/2017,P & A with/without shows or untested pay
52/4-1,50.8919708,-13.35673082,Exploration,Porcupine Basin,CNOOC,Stena IceMAX,5767,31.6,2165.4,m,28/05/2019,15/08/2019,P & A with/without shows or untested pay
