WELL,LAT,LON,CLASS,AREA,OPERATOR,RIG_NAME,TD,KB,WD,DEPTH_UNIT,SPUD_DATE,RIG_RELEAS,STATUS
42/21-1,52.1884806,-5.9834556,Exploration,North Celtic Sea Basin,Gulf,Ali Baba,6650,84,295,ft,28/07/1986,09/09/1986,P & A with/without shows or untested pay
50/7-1,51.7612794,-6.7474233,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,5835,86,236,ft,19/09/1986,16/10/1986,P & A with/without shows or untested pay
57/2-2,50.9140742,-8.7596303,Exploration,North Celtic Sea Basin,Total,Ali Baba,3009,25.5,107,m,05/04/1987,07/06/1987,P & A with/without shows or untested pay
49/9-4,51.6713111,-7.3843278,Exploration,North Celtic Sea Basin,BP,Sedco 700,2086,25.91,74.5,m,10/04/1987,01/06/1987,P & A Oil Well
50/6-2,51.8049722,-6.8228056,Exploration,North Celtic Sea Basin,BP,Sedco 700,1100,25.91,73,m,02/06/1987,18/06/1987,P & A with/without shows or untested pay
43/13-1,51.5050111,-13.4025083,Exploration,Porcupine Basin,BP,Pacnorse 1,5128,12,921,m,07/04/1988,11/09/1988,P & A with/without shows or untested pay
42/16-1,52.4237528,-5.8459583,Exploration,Central Irish Sea Basin,Conoco,Alladin,4754,82,259,ft,20/05/1988,03/07/1988,P & A with/without shows or untested pay
35/18-1,52.4851414,-12.5314247,Exploration,Porcupine Basin,Amoco,Henry Goodrich,3901,22,566,m,07/06/1988,31/07/1988,P & A with/without shows or untested pay
48/20-2,51.4519644,-8.1246572,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,3595,85,285,ft,01/03/1989,06/04/1989,Gas Producer
49/9-5,51.6910444,-7.2924417,Exploration,North Celtic Sea Basin,BP,Sedco 700,1820,25.9,75.8,m,01/03/1989,17/04/1989,P & A with/without shows or untested pay
48/20-3,51.4875925,-8.0776756,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter,2950,85,282,ft,08/04/1989,10/05/1989,P & A with/without shows or untested pay
48/20-4,51.4639881,-8.0882533,Appraisal,North Celtic Sea Basin,Marathon,Western Pacesetter,3100,85,279,ft,11/05/1989,31/05/1989,P & A with/without shows or untested pay
48/20-5,51.476845,-8.0649525,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,3100,85,281,ft,01/06/1989,19/06/1989,P & A with/without shows or untested pay
48/24-3,51.2008228,-8.2875728,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,8475,85,331,ft,16/01/1990,30/04/1990,P & A Oil & Gas Well
48/24-4,51.3313647,-8.2963656,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,8110,85,310,ft,01/05/1990,19/06/1990,P & A with/without shows or untested pay
50/13-1,51.58024,-6.4539192,Exploration,North Celtic Sea Basin,Conoco,Western Pacetter,5900,85,256,ft,22/06/1990,20/07/1990,P & A with/without shows or untested pay
42/12-2,52.6577264,-5.6170497,Exploration,Central Irish Sea Basin,HIL,Glomar Main Pass 1,3800,98,238,ft,14/07/1990,31/07/1990,P & A with/without shows or untested pay
50/3-3,51.9094967,-6.5963619,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,4800,85,212,ft,03/06/1991,01/07/1991,P & A with/without shows or untested pay
48/30-2,51.1073983,-8.1638247,Exploration,North Celtic Sea Basin,Marathon,Ocean Liberator,8500,82,340,ft,08/07/1992,23/08/1992,P & A with/without shows or untested pay
48/19-2,51.4331572,-8.2963656,Exploration,North Celtic Sea Basin,Bula,Ocean Liberator,4500,82,291,ft,26/08/1992,09/10/1992,P & A with/without shows or untested pay
48/28-2,51.0843633,-8.4370414,Exploration,North Celtic Sea Basin,Marathon,Ocean Bounty,7153,82,342,ft,02/07/1993,31/07/1993,P & A with/without shows or untested pay
50/12-3,51.5015861,-6.6438086,Exploration,North Celtic Sea Basin,Mobil,Ocean Alliance,10648,85,258,ft,13/07/1993,25/08/1993,P & A with/without shows or untested pay
50/2-1,51.8680553,-6.7472853,Exploration,North Celtic Sea Basin,Marathon,Ocean Bounty,4050,82,233,ft,02/08/1993,24/08/1993,P & A with/without shows or untested pay
50/10-1,51.7404456,-6.1961219,Exploration,North Celtic Sea Basin,Mobil,Maersk Vinlander,8723,75,293,ft,05/08/1994,19/09/1994,P & A with/without shows or untested pay
42/8-1A,52.774595,-5.5333933,Exploration,Central Irish Sea Basin,BHP,Maersk Vinlander,8948,75,225,ft,23/09/1994,16/10/1994,P & A with/without shows or untested pay
41/30-1,52.1428167,-6.1282472,Exploration,Central Irish Sea Basin,Marathon,Kan Tan IV,7343,85,248,ft,10/06/1995,07/07/1995,P & A with/without shows or untested pay
49/11-2,51.5004825,-7.9322031,Exploration,North Celtic Sea Basin,Marathon,Kan Tan IV,3200,85,273,ft,16/07/1995,29/07/1995,P & A with/without shows or untested pay
