OBJECTID,REF_NO_,WELL_NO_,SPUD_LATID,SPUD_LONGI,DDLATITUDE,DDLONGITUD,WELL_CLASS,AREA,OPERATOR,RIG_NAME,TD__MD_,RIG_DATUM,WATER_DEPT,UNIT,SPUD_DATE,RIG_RELEAS,WELL_STATU
57,57,35/15-1,"52° 34' 54.299"" N","12° 06' 43.803"" W",52.5817497,-12.1121675,Exploration,Porcupine Basin,Phillips,Ocean Ranger,12098,97,1020,ft,24/06/1980,19/10/1980,P & A with/without shows or untested pay
58,58,26/28-2,"53° 02' 26.291"" N","12° 34' 49.240"" W",53.0406364,-12.5803444,Appraisal,Porcupine Basin,BP,Sea Conquest,2697,26,378.3,m,11/07/1980,21/09/1980,P & A Oil Well
59,59,34/5-1A,"52° 59' 27.472"" N","13° 10' 43.940"" W",52.9909644,-13.1788722,Exploration,Porcupine Basin,ELF,Western Pacesetter II,1488,25,289,m,22/07/1980,19/08/1980,P & A with/without shows or untested pay
60,60,50/12-2A,"51° 39' 15.334"" N","06° 47' 13.319"" W",51.6542594,-6.7870331,Exploration,North Celtic Sea Basin,BP,Bradford Dolphin,3098,26.5,73.5,m,19/04/1981,07/08/1981,P & A with/without shows or untested pay
61,61,26/27-1B,"53° 05' 17.040"" N","12° 43' 59.400"" W",53.0880667,-12.7331667,Exploration,Porcupine Basin,Chevron,Western Pacesetter II,9236,84,1256,ft,23/04/1981,10/06/1981,P & A with/without shows or untested pay
62,62,35/8-2,"52° 46' 29.800"" N","12° 27' 54.800"" W",52.7749444,-12.4652222,Exploration,Porcupine Basin,Phillips,Sedco 700,15200,86,1386,ft,19/04/1981,23/10/1981,P & A Oil & Gas Well
63,63,63/10-1,"49° 45' 45.099"" N","10° 10' 16.098"" W",49.7625275,-10.1711383,Exploration,Fastnet Basin,Cities Services,West Venture,3447,33.2,143.3,m,24/05/1981,05/08/1981,P & A with/without shows or untested pay
64,64,26/28-3,"53° 04' 15.000"" N","12° 31' 26.650"" W",53.0708333,-12.5240694,Exploration,Porcupine Basin,BP,Kingsnorth U.K.,2588,26,364,m,26/05/1981,15/07/1981,P & A with/without shows or untested pay
65,65,26/26-1,"53° 04' 44.691"" N","12° 51' 57.612"" W",53.0790808,-12.8660033,Exploration,Porcupine Basin,Shell,Pacnorse I,1256,12,363,m,01/06/1981,29/06/1981,P & A with/without shows or untested pay
66,66,26/28-4Az,"53° 04' 24.649"" N","12° 27' 41.982"" W",53.0735136,-12.4616617,Exploration,Porcupine Basin,BP,Kingsnorth U.K.,2418,25,350,m,09/08/1981,08/10/1981,P & A with/without shows or untested pay
67,67,27/13-1A,"53° 33' 26.700"" N","11° 24' 37.000"" W",53.5574167,-11.4102778,Exploration,Slyne Trough,ELF,Pentagone 84,2725,24,191,m,22/10/1981,24/01/1982,P & A with/without shows or untested pay
68,68,62/7-1,"49° 40' 02.289"" N","11° 45' 46.907"" W",49.6673025,-11.7630297,Exploration,Goban Spur,Esso,Sedco 472,15327,33,3258,ft,12/05/1982,24/08/1982,P & A with/without shows or untested pay
69,69,26/30-1,"53° 06' 33.590"" N","12° 06' 00.862"" W",53.1093306,-12.1002394,Exploration,Porcupine Basin,Phillips,Sedco 707,5648,79,817,ft,19/05/1982,24/06/1982,P & A with/without shows or untested pay
70,70,26/29-1,"53° 04' 31.175"" N","12° 20' 42.998"" W",53.0753264,-12.3452772,Exploration,Porcupine Basin,BP,Kingsnorth U.K.,1842,25,346,m,17/09/1982,19/10/1982,P & A with/without shows or untested pay
71,71,49/9-1,"51° 42' 22.110"" N","07° 22' 38.960"" W",51.7061417,-7.3774889,Exploration,North Celtic Sea Basin,Gulf,Sedco 704,9239,85,249,ft,16/04/1983,16/06/1983,P & A with/without shows or untested pay
72,72,57/7-1,"50° 46' 21.991"" N","08° 45' 03.577"" W",50.7727753,-8.7509936,Exploration,North Celtic Sea Basin,Burmah,Diamond M. Hunter,9415,73,368,ft,03/05/1983,25/07/1983,P & A with/without shows or untested pay
73,73,57/2-1,"50° 54' 29.004"" N","08° 42' 02.454"" W",50.9080567,-8.7006817,Exploration,North Celtic Sea Basin,Total,Dyi Alpha,3800,25,113.5,m,30/05/1983,30/09/1983,P & A with/without shows or untested pay
74,74,49/9-2,"51° 41' 02.250"" N","07° 20' 45.940"" W",51.6839583,-7.3460944,Exploration,North Celtic Sea Basin,Gulf,Sedco 704,6300,85,256,ft,17/06/1983,26/08/1983,Suspended Oil Well
75,75,48/26-1,"51° 00' 32.110"" N","08° 55' 29.500"" W",51.0089194,-8.9248611,Exploration,North Celtic Sea Basin,ELF,Diamond M. Hunter,2801,22,114,m,27/07/1983,03/11/1983,P & A with/without shows or untested pay
76,76,56/18-1,"50° 22' 16.661""N","09° 28' 41.775""W",50.3712947,-9.4782708,Exploration,North Celtic Sea Basin,Gulf,Sedco 704,11973,85,442,ft,29/08/1983,16/11/1983,P & A with/without shows or untested pay
77,77,49/9-3y,"51°41' 2.250""N","07°20'46.940""W",51.6839583,-7.3463722,Appraisal,North Celtic Sea Basin,Gulf,Sedco 704,8550,85,250,ft,21/11/1983,09/04/1984,Suspended with/without shows or untested pay
78,78,48/19-1A,"51° 25' 23.210""N","08° 20' 10.370""W",51.4231139,-8.3362139,Exploration,North Celtic Sea Basin,Gulf,Sedco 704,12090,85,290,ft,13/04/1984,16/07/1984,P & A with/without shows or untested pay
79,79,26/28-5,"53° 02' 00.799"" N","12° 33' 08.808"" W",53.0335553,-12.5524467,Appraisal,Porcupine Basin,BP,Ali Baba,2810,25,376,m,24/04/1984,04/06/1984,P & A with/without shows or untested pay
80,80,64/1-1,"49° 52' 25.927""N","09° 55' 52.449""W",49.8738686,-9.9312358,Exploration,Fastnet Basin,Cities Services,Glomar Artic II,2398.66,26.2,124.06,m,16/07/1984,25/08/1984,P & A with/without shows or untested pay
81,81,49/10-1,"51° 41' 5.460""N","07° 10' 35.540""W",51.68485,-7.1765389,Exploration,North Celtic Sea Basin,Gulf,Glomar Artic II,6750,84,247,ft,27/08/1984,09/11/1984,P & A with/without shows or untested pay
82,82,49/19-1,"51° 22' 52.887""N","07° 21' 50.208""W",51.3813575,-7.3639467,Exploration,North Celtic Sea Basin,Marathon,Sedco 704,11820,95,284,ft,09/09/1984,15/01/1985,P & A with/without shows or untested pay
83,83,57/9-1,"50° 49' 40.361""N","08° 22' 54.606""W",50.8278781,-8.381835,Exploration,North Celtic Sea Basin,Conoco,Western Pacesetter II,8224,84,296,ft,16/09/1984,10/11/1984,P & A Oil & Gas Well
84,84,47/29-1,"51° 03' 38.700""N","09° 15' 30.000""W",51.06075,-9.2583333,Exploration,North Celtic Sea Basin,Arco,Santa Fe 135,10115,85,389,ft,24/03/1985,01/06/1985,P & A with/without shows or untested pay
