OBJECTID,REF_NO_,WELL_NO_,SPUD_LATID,SPUD_LONGI,DDLATITUDE,DDLONGITUD,WELL_CLASS,AREA,OPERATOR,RIG_NAME,TD__MD_,RIG_DATUM,WATER_DEPT,UNIT,SPUD_DATE,RIG_RELEAS,WELL_STATU
142,140,48/25-5,"51° 19' 25.402"" N","08° 06' 50.218"" W",51.3237228,-8.1139494,Appraisal/Developmt,North Celtic Sea Basin,Marathon,Ton van Langeveld,4208,106,309,ft,28/04/2001,10/06/2001,Gas Producer
143,141,35/21-1,"52° 18' 58.89"" N","12° 58' 12.23"" W",52.3163583,-12.9700639,Exploration,Porcupine Basin,Statoil,Sovereign Explorer,3650,25.6,660,m,13/05/2001,03/07/2001,P & A with/without shows or untested pay
144,142,63/4-2,"49° 51' 08.666"" N","10° 22' 35.113"" W",49.8524072,-10.3764203,Exploration,Fastnet Basin,EDC (Europe) Ltd,Ton van Langeveld,7217,106,437,ft,13/06/2001,10/07/2001,P & A with/without shows or untested pay
145,143,48/24-5A,"51° 12' 18.167"" N","08° 21' 05.451"" W",51.2050464,-8.3515142,Appraisal/Developmt,North Celtic Sea Basin,Ramco Oil Ltd,Pride North Sea,4275,82,334,ft,05/08/2001,28/10/2001,Gas Producer
146,144,12/2-1z,"55° 55' 20.593"" N","09° 39' 08.769"" W",55.9223869,-9.6524358,Exploration,Rockall Basin,Enterprise Energy,Jack Bates,4146,29,1475.8,m,06/08/2002,30/10/2002,P & A with/without shows or untested pay
147,145,48/24-6,"51° 11' 30.47"" N","08° 23' 42.16"" W",51.191797,-8.395044,Appraisal/Developmt,North Celtic Sea Basin,Ramco Seven Heads,Sedco 711,4260,87,331,ft,15/03/2003,18/04/2003,Gas Producer
148,146,48/25-6,"51° 19' 35.108"" N","08° 05' 56.715"" W",51.326419,-8.099089,Appraisal/Developmt,North Celtic Sea Basin,Marathon,Sedco 711,9234,86.5,305,ft,22/04/2003,27/05/2003,Gas Producer
149,147,48/24-7A,"51° 11' 46.765"" N","08° 20' 01.773"" W",51.196325,-8.333825,Appraisal/Developmt,North Celtic Sea Basin,Ramco Seven Heads,Sedco 704,3626,87,329,ft,16/05/2003,23/05/2003,Gas Producer
150,148,48/24-8,"51° 10' 21.665""N","08° 15' 10.495""W",51.172683,-8.252914,Appraisal/Developmt,North Celtic Sea Basin,Ramco Seven Heads,Sedco 711,4150,86,320,ft,12/06/2003,21/07/2003,Gas Producer
151,149,48/24-9,"51° 11' 20.268""N","08° 15' 18.610""W",51.188964,-8.255169,Appraisal/Developmt,North Celtic Sea Basin,Ramco Seven Heads,Sedco 704,3655,87,325,ft,24/06/2003,17/07/2003,Gas Producer
152,150,48/23-2,"51° 10' 08.69"" N","08° 25' 43.77"" W",51.169081,-8.428825,Appraisal/Developmt,North Celtic Sea Basin,Ramco Seven Heads,Sedco 711 & Sedco 704,3613,87,328,ft,23/07/2003,22/08/2003,P & A with/without shows or untested pay
153,151,19/11-1A,"54° 30' 56.94"" N","10° 51' 49.37"" W",54.515817,-10.86371,Exploration,Slyne Basin,Statoil,Sedco 711,4685,24.6,397,m,11/08/2003,16/12/2003,P & A with/without shows or untested pay
154,152,49/26-1A,"51° 03' 33.61"" N","07° 58' 43.965"" W",51.059336,-7.978879,Exploration,North Celtic Sea Basin,Providence Resources,Stena Dee,6339,82,335,ft,27/07/2004,27/08/2004,P & A with/without shows or untested pay
155,153,48/23-3,"51° 11' 21.21"" N","08° 24' 42.47"" W",51.189225,-8.411797,Appraisal/Developmt,North Celtic Sea Basin,Island Oil and Gas,Petrolia,3325,87.7,341.2,ft,03/05/2006,07/07/2006,Suspended Gas Well
156,154,49/23-1,"51° 18' 49.678"" N","07° 32' 42.103"" W",51.313799,-7.545029,Exploration,North Celtic Sea Basin,Island Oil and Gas,Petrolia,4220,87.7,296.3,ft,12/07/2006,07/08/2006,Suspended with/without shows or untested pay
157,155,13/12/2001,"55° 36' 15.196"" N","08° 46' 45.186"" W",55.6042211,-8.7792183,Exploration,Donegal Basin,Lundin Exploration,Petrolia,1533,87,316,ft,22/08/2006,04/09/2006,P & A with/without shows or untested pay
158,156,18/20-5 P6,"54° 20' 21.510"" N","11° 03' 20.506"" W",54.3393083,-11.0556961,Appraisal/Developmt,Slyne Basin,Shell,Sedco 711,4222,26.4,348.1,m,31/03/2007,22/10/2007,Suspended Gas Well
159,157,18/20-6 P10,"54° 20' 23.994"" N","11° 03' 19.953"" W",54.3399983,-11.0555425,Appraisal/Developmt,Slyne Basin,Shell,Sedco 711,3847,26.4,349,m,27/03/2007,25/10/2007,Suspended Gas Well
160,158,49/23-2z,"51° 18' 11.681"" N","07° 34' 49.184"" W",51.3032447,-7.5803289,Appraisal/Developmt,North Celtic Sea Basin,Island Oil and Gas,Petrolia,5140,87.7,289,ft,16/05/2007,10/07/2007,Suspended Gas Well
161,159,57/2-3,"50° 54' 6.672"" N","08° 46' 01.607"" W",50.9018533,-8.7671131,Exploration/Apprais,North Celtic Sea Basin,Island Oil and Gas,Petrolia,2989,87.7,357.8,ft,14/07/2007,12/08/2007,Suspended Gas Well
162,160,50/11-3,"51° 35' 14.245"" N","06° 55' 11.167"" W",51.5872903,-6.9197686,Exploration/Apprais,North Celtic Sea Basin,Providence Resources,Petrolia,4974,87,239,ft,17/08/2007,16/10/2007,Suspended with/without shows or untested pay
163,161,12/02/2002,"55° 53' 58.842"" N","09° 45' 38.823"" W",55.8996783,-9.7607842,Exploration,Rockall Basin,Shell E&P Ireland,Leiv Eiriksson,4456,25,1720,m,15/05/2008,28/07/2008,P & A with/without shows or untested pay
164,162,19/08/2001,"54° 42€™ 23.6""N","10° 26€™ 20.5""W",54.7065556,-10.4390278,Exploration,Erris Basin,Statoil Exploration,Ocean Vanguard,2755,22,176,m,19/05/2008,08/07/2008,P & A with/without shows or untested pay
165,163,50/11-4,"51° 35' 41.902""N","06° 57' 03.803""W",51.5949728,-6.9510564,Appraisal,North Celtic Sea Basin,Providence Resources,Arctic II,4951,76,244,ft,05/08/2008,01/09/2008,P & A with/without shows or untested pay
166,164,50/6-4,"51° 45' 17.662""N","06° 48' 09.277""W",51.7549061,-6.8025769,Appraisal,North Celtic Sea Basin,Providence Resources,Arctic II,5214,76,243,ft,05/09/2008,28/09/2008,Suspended with/without shows or untested pay
167,165,"27/4-1,1z","53° 56' 18.396""N","11° 22' 24.293""W",53.9384435,-11.3734146,Exploration,Slyne Basin,Serica Energy UK,Ocean Guardian,1900,26.4,272.6,m,11/05/2009,12/06/2009,P & A with/without shows or untested pay
168,166,18/20-7,"54° 24' 25.740""N","11° 04' 16.237""W",54.40715,-11.0711777,Exploration,Slyne Basin,Shell,Sedco 711,4041,26.4,401,m,18/06/2010,13/10/2010,P & A with/without shows or untested pay
169,167,48/24-10z,"51° 12' 4.072""N","08° 17' 13.377""W",51.2011311,-8.2870492,Appraisal,North Celtic Sea Basin,Providence Resources,Arctic III,7650,86,335,ft,20/11/2011,24/03/2012,Suspended Oil Well
170,168,44/23-1,"51° 19' 57.496""N","12° 27' 23.777""W",51.3326379,-12.4566047,Exploration,Porcupine Basin,ExxonMobil E&P Irl,Eirik Raude,5000,25,1663,m,23/04/2013,30/07/2013,P & A with/without shows or untested pay
171,169,49/11-3,"51° 31' 11.27"" N","07° 49' 14.15"" W",51.519797,-7.820597,Exploration,North Celtic Sea Basin,PSE Seven Heads Ltd,Ocean Guardian,3480,86.5,276.5,ft,29/07/2015,18/08/2015,P & A with/without shows or untested pay
172,170,53/6-1,"50° 47' 4.079"" N","12° 58' 36.366"" W",50.784466,-12.976768,Exploration,Porcupine Basin,Providence Resources,Stena IceMAX,5281,32,2233,m,13/07/2017,25/09/2017,P & A with/without shows or untested pay
173,171,52/4-1,"50° 53' 31.09493"" N","13° 21' 24.23096""",50.8919708,-13.35673082,Exploration,Porcupine Basin,CNOOC,Stena IceMAX,5767,31.6,2165.4,m,28/05/2019,15/08/2019,P & A with/without shows or untested pay
